,OBJECTID_left,SchoolId,EfClass,Tract_left,YearBuilt,NumStories,Cost,Area,Latitude,Longitude,HUSBT,SO,Name,Address,City,Zipcode,Statea,Contact,PhoneNumber,NumStudents,BackupPower,ShelterCapacity,District,Kitchen,geometry,index_right,CensusBlock,OBJECTID_right,SURFACEROUGHNESS,SRIndex,wbID,sbtName,charDescription,CaseID,nWindChar,TerrainID,Tract_ID_Gen,OBJECTID,Tract_right,f1000yr,f1000yr_L,f1000yr_U,f1000yr_IpV,f1000yr_IpV_dmg1,f1000yr_IpV_dmg2,f1000yr_IpV_dmg3,f1000yr_IpV_dmg4,f1000yr_IpV_dmg5,f1000yr_IpV_dmg6,f1000yr_IpV_dmg7,f1000yr_IpV_dmg8
10,616,HI000389,EFS1,15003008617,1954.0,1,1290.0,4300.0,21.3445,-158.03468999999998,MERBL,EDU1,Ewa Elementary - Bldg C,91-1280 Renton Rd,Ewa Beach,96706.0,HI,nan,nan,nan,nan,nan,nan,nan,POINT (-158.03469 21.3445),12196,150030086171004,11924,0.291,0.29,1437,MERBL,rcburwalowshtnowiddArd100,3,5,3,15003008617,184,15003008617,144.1000061,145,150,,1.0,0.9999292000732,0.981637014457,0.0,0.32213928743062004,0.24946405465600005,218.5466398086,8.353602921561
11,617,HI000390,EFS1,15003008617,1957.0,1,1473.0,4910.0,21.3445,-158.03468999999998,MERBL,EDU1,Ewa Elementary - Bldg D,91-1280 Renton Rd,Ewa Beach,96706.0,HI,nan,nan,nan,nan,nan,nan,nan,POINT (-158.03469 21.3445),12196,150030086171004,11924,0.291,0.29,1437,MERBL,rcburwalowshtnowiddArd100,3,5,3,15003008617,184,15003008617,144.1000061,145,150,,1.0,0.9999292000732,0.981637014457,0.0,0.32213928743062004,0.24946405465600005,218.5466398086,8.353602921561
12,618,HI000391,EFS1,15003008617,1965.0,2,2817.6,9392.0,21.3445,-158.03468999999998,MERBL,EDU1,Ewa Elementary - Bldg I,91-1280 Renton Rd,Ewa Beach,96706.0,HI,nan,nan,nan,nan,nan,nan,nan,POINT (-158.03469 21.3445),12196,150030086171004,11924,0.291,0.29,1437,MERBL,rcburwalowshtnowiddArd100,3,5,3,15003008617,184,15003008617,144.1000061,145,150,,1.0,0.9999292000732,0.981637014457,0.0,0.32213928743062004,0.24946405465600005,218.5466398086,8.353602921561
13,1991,HI001095,EFS1,15003008605,1954.0,1,1290000.0,4300.0,21.3445,-158.034685,MERBL,EDU1,Ewa Elementary - Bldg C,91-1280 RENTON RD,EWA BEACH,96706.0,HI,nan,nan,0.0,0.0,0.0,nan,0.0,POINT (-158.034685 21.3445),12196,150030086171004,11924,0.291,0.29,1437,MERBL,rcburwalowshtnowiddArd100,3,5,3,15003008617,184,15003008617,144.1000061,145,150,,1.0,0.9999292000732,0.981637014457,0.0,0.32213928743062004,0.24946405465600005,218.5466398086,8.353602921561
14,1992,HI001096,EFS1,15003008605,1957.0,1,1473000.0,4910.0,21.3445,-158.034685,MERBL,EDU1,Ewa Elementary - Bldg D,91-1280 RENTON RD,EWA BEACH,96706.0,HI,nan,nan,0.0,0.0,0.0,nan,0.0,POINT (-158.034685 21.3445),12196,150030086171004,11924,0.291,0.29,1437,MERBL,rcburwalowshtnowiddArd100,3,5,3,15003008617,184,15003008617,144.1000061,145,150,,1.0,0.9999292000732,0.981637014457,0.0,0.32213928743062004,0.24946405465600005,218.5466398086,8.353602921561
15,1993,HI001097,EFS1,15003008605,1965.0,2,2817600.0,9392.0,21.3445,-158.034685,MERBL,EDU1,Ewa Elementary - Bldg I,91-1280 RENTON RD,EWA BEACH,96706.0,HI,nan,nan,0.0,0.0,0.0,nan,0.0,POINT (-158.034685 21.3445),12196,150030086171004,11924,0.291,0.29,1437,MERBL,rcburwalowshtnowiddArd100,3,5,3,15003008617,184,15003008617,144.1000061,145,150,,1.0,0.9999292000732,0.981637014457,0.0,0.32213928743062004,0.24946405465600005,218.5466398086,8.353602921561
16,1996,HI001100,EFS1,15003008605,1990.0,1,2890200.0,9634.0,21.3445,-158.034685,MERBL,EDU1,Ewa Elementary - Bldg L,91-1280 RENTON RD,EWA BEACH,96706.0,HI,nan,nan,0.0,0.0,0.0,nan,0.0,POINT (-158.034685 21.3445),12196,150030086171004,11924,0.291,0.29,1437,MERBL,rcburwalowshtnowiddArd100,3,5,3,15003008617,184,15003008617,144.1000061,145,150,,1.0,0.9999292000732,0.981637014457,0.0,0.32213928743062004,0.24946405465600005,218.5466398086,8.353602921561
17,1997,HI001101,EFS1,15003008605,1994.0,2,2890200.0,9634.0,21.3445,-158.034685,MERBL,EDU1,Ewa Elementary - Bldg M,91-1280 RENTON RD,EWA BEACH,96706.0,HI,nan,nan,0.0,0.0,0.0,nan,0.0,POINT (-158.034685 21.3445),12196,150030086171004,11924,0.291,0.29,1437,MERBL,rcburwalowshtnowiddArd100,3,5,3,15003008617,184,15003008617,144.1000061,145,150,,1.0,0.9999292000732,0.981637014457,0.0,0.32213928743062004,0.24946405465600005,218.5466398086,8.353602921561
18,441,HI000393,EFS1,15003008617,1979.0,1,1119.125,6395.0,21.3445,-158.03468999999998,WSF1,EDU1,Ewa Elementary - Bldg K,91-1280 Renton Rd,Ewa Beach,96706.0,HI,nan,nan,nan,nan,nan,nan,nan,POINT (-158.03469 21.3445),12196,150030086171004,11924,0.291,0.29,1,WSF1,rsgabswrnorda6dstrapgdnodshtno                                                                      ,1,6,3,15003008617,184,15003008617,144.1000061,145,150,,0.9866138092597999,0.8142606833626002,0.3869649728008001,0.08459010004000002,0.35936436234404,0.20422955693266004,275.61861740642405,10.561248631418202
19,1995,HI001099,EFS1,15003008605,1979.0,1,1119125.0,6395.0,21.3445,-158.034685,WSF1,EDU1,Ewa Elementary - Bldg K,91-1280 RENTON RD,EWA BEACH,96706.0,HI,nan,nan,0.0,0.0,0.0,nan,0.0,POINT (-158.034685 21.3445),12196,150030086171004,11924,0.291,0.29,1,WSF1,rsgabswrnorda6dstrapgdnodshtno                                                                      ,1,6,3,15003008617,184,15003008617,144.1000061,145,150,,0.9866138092597999,0.8142606833626002,0.3869649728008001,0.08459010004000002,0.35936436234404,0.20422955693266004,275.61861740642405,10.561248631418202
20,440,HI000392,EFS1,15003008617,1967.0,2,1654.625,9455.0,21.3445,-158.03468999999998,WSF2,EDU1,Ewa Elementary - Bldg J,91-1280 Renton Rd,Ewa Beach,96706.0,HI,nan,nan,nan,nan,nan,nan,nan,POINT (-158.03469 21.3445),12196,150030086171004,11924,0.291,0.29,161,WSF2,rsgabswrnorda6dstrapgdnodshtno                                                                      ,1,6,3,15003008617,184,15003008617,144.1000061,145,150,,0.9993654005734,0.9675508206668,0.8114316931835999,0.4751037628456001,0.6856223267702001,0.61459955002882,493.64805527454405,21.092981321396003
21,1994,HI001098,EFS1,15003008605,1967.0,2,1654625.0,9455.0,21.3445,-158.034685,WSF2,EDU1,Ewa Elementary - Bldg J,91-1280 RENTON RD,EWA BEACH,96706.0,HI,nan,nan,0.0,0.0,0.0,nan,0.0,POINT (-158.034685 21.3445),12196,150030086171004,11924,0.291,0.29,161,WSF2,rsgabswrnorda6dstrapgdnodshtno                                                                      ,1,6,3,15003008617,184,15003008617,144.1000061,145,150,,0.9993654005734,0.9675508206668,0.8114316931835999,0.4751037628456001,0.6856223267702001,0.61459955002882,493.64805527454405,21.092981321396003
22,83,HI000410,EFS1,15003010507,1960.0,1,4022.4,13408.0,21.41825,-157.80858999999998,MERBL,EDU1,Heeia Elementary - Bldg B,46-202 Haiku Rd,Kaneohe,96744.0,HI,nan,nan,nan,nan,nan,nan,nan,POINT (-157.80859 21.41825),9933,150030105072001,9880,0.483,0.48,1437,MERBL,rcburwalowshtnowiddArd100,3,5,4,15003010507,242,15003010507,150.5,150,155,,1.0,0.998041,0.93922,0.0,0.26450569999999995,0.1856305,185.09009999999998,7.334950999999999
23,84,HI000411,EFS1,15003010507,1961.0,1,4022.4,13408.0,21.41825,-157.80858999999998,MERBL,EDU1,Heeia Elementary - Bldg C,46-202 Haiku Rd,Kaneohe,96744.0,HI,nan,nan,nan,nan,nan,nan,nan,POINT (-157.80859 21.41825),9933,150030105072001,9880,0.483,0.48,1437,MERBL,rcburwalowshtnowiddArd100,3,5,4,15003010507,242,15003010507,150.5,150,155,,1.0,0.998041,0.93922,0.0,0.26450569999999995,0.1856305,185.09009999999998,7.334950999999999
24,85,HI000412,EFS1,15003010507,1971.0,1,1411.5,4705.0,21.41825,-157.80858999999998,MERBL,EDU1,Heeia Elementary - Bldg F,46-202 Haiku Rd,Kaneohe,96744.0,HI,nan,nan,nan,nan,nan,nan,nan,POINT (-157.80859 21.41825),9933,150030105072001,9880,0.483,0.48,1437,MERBL,rcburwalowshtnowiddArd100,3,5,4,15003010507,242,15003010507,150.5,150,155,,1.0,0.998041,0.93922,0.0,0.26450569999999995,0.1856305,185.09009999999998,7.334950999999999
25,2548,HI001652,EFS1,15003010506,1960.0,1,4022400.0,13408.0,21.418251,-157.80858500000002,MERBL,EDU1,Heeia Elementary - Bldg B,46-202 HAIKU RD,KANEOHE,96744.0,HI,nan,nan,0.0,0.0,0.0,nan,0.0,POINT (-157.808585 21.418251),9933,150030105072001,9880,0.483,0.48,1437,MERBL,rcburwalowshtnowiddArd100,3,5,4,15003010507,242,15003010507,150.5,150,155,,1.0,0.998041,0.93922,0.0,0.26450569999999995,0.1856305,185.09009999999998,7.334950999999999
26,2549,HI001653,EFS1,15003010506,1961.0,1,4022400.0,13408.0,21.418251,-157.80858500000002,MERBL,EDU1,Heeia Elementary - Bldg C,46-202 HAIKU RD,KANEOHE,96744.0,HI,nan,nan,0.0,0.0,0.0,nan,0.0,POINT (-157.808585 21.418251),9933,150030105072001,9880,0.483,0.48,1437,MERBL,rcburwalowshtnowiddArd100,3,5,4,15003010507,242,15003010507,150.5,150,155,,1.0,0.998041,0.93922,0.0,0.26450569999999995,0.1856305,185.09009999999998,7.334950999999999
27,2550,HI001654,EFS1,15003010506,1971.0,1,1411500.0,4705.0,21.418251,-157.80858500000002,MERBL,EDU1,Heeia Elementary - Bldg F,46-202 HAIKU RD,KANEOHE,96744.0,HI,nan,nan,0.0,0.0,0.0,nan,0.0,POINT (-157.808585 21.418251),9933,150030105072001,9880,0.483,0.48,1437,MERBL,rcburwalowshtnowiddArd100,3,5,4,15003010507,242,15003010507,150.5,150,155,,1.0,0.998041,0.93922,0.0,0.26450569999999995,0.1856305,185.09009999999998,7.334950999999999
28,444,HI000413,EFS1,15003010507,1994.0,1,142.1,812.0,21.41825,-157.80858999999998,WSF1,EDU1,Heeia Elementary - Bldg P1,46-202 Haiku Rd,Kaneohe,96744.0,HI,nan,nan,nan,nan,nan,nan,nan,POINT (-157.80859 21.41825),9933,150030105072001,9880,0.483,0.48,1,WSF1,rsgabswrnorda6dstrapgdnodshtno                                                                      ,1,6,4,15003010507,242,15003010507,150.5,150,155,,0.981089,0.7600199999999999,0.31755900000000004,0.060812,0.3046001,0.1432938,242.76005999999998,9.108125000000001
29,445,HI000414,EFS1,15003010507,1996.0,1,142.1,812.0,21.41825,-157.80858999999998,WSF1,EDU1,Heeia Elementary - Bldg P2,46-202 Haiku Rd,Kaneohe,96744.0,HI,nan,nan,nan,nan,nan,nan,nan,POINT (-157.80859 21.41825),9933,150030105072001,9880,0.483,0.48,1,WSF1,rsgabswrnorda6dstrapgdnodshtno                                                                      ,1,6,4,15003010507,242,15003010507,150.5,150,155,,0.981089,0.7600199999999999,0.31755900000000004,0.060812,0.3046001,0.1432938,242.76005999999998,9.108125000000001
30,2551,HI001655,EFS1,15003010506,1994.0,1,142100.0,812.0,21.418251,-157.80858500000002,WSF1,EDU1,Heeia Elementary - Bldg P1,46-202 HAIKU RD,KANEOHE,96744.0,HI,nan,nan,0.0,0.0,0.0,nan,0.0,POINT (-157.808585 21.418251),9933,150030105072001,9880,0.483,0.48,1,WSF1,rsgabswrnorda6dstrapgdnodshtno                                                                      ,1,6,4,15003010507,242,15003010507,150.5,150,155,,0.981089,0.7600199999999999,0.31755900000000004,0.060812,0.3046001,0.1432938,242.76005999999998,9.108125000000001
31,2552,HI001656,EFS1,15003010506,1996.0,1,142100.0,812.0,21.418251,-157.80858500000002,WSF1,EDU1,Heeia Elementary - Bldg P2,46-202 HAIKU RD,KANEOHE,96744.0,HI,nan,nan,0.0,0.0,0.0,nan,0.0,POINT (-157.808585 21.418251),9933,150030105072001,9880,0.483,0.48,1,WSF1,rsgabswrnorda6dstrapgdnodshtno                                                                      ,1,6,4,15003010507,242,15003010507,150.5,150,155,,0.981089,0.7600199999999999,0.31755900000000004,0.060812,0.3046001,0.1432938,242.76005999999998,9.108125000000001
32,88,HI000426,EFS1,15003007302,1950.0,1,2334.0,7780.0,21.342489999999998,-157.96368999999999,MERBL,EDU1,Hickam Elementary - Bldg C,Manzelman St,Hickam AFB ,96853.0,HI,nan,nan,nan,nan,nan,nan,nan,POINT (-157.96369 21.34249),12544,150030073021001,12296,0.499,0.5,1437,MERBL,rcburwalowshtnowiddArd100,3,5,4,15003007302,143,15003007302,143.3999939,145,150,,0.9988911989752001,0.9879999908499999,0.8240626972638,0.0,0.19184285937331996,0.13206351636426,137.09747957042,5.332159920828599
33,89,HI000427,EFS1,15003007302,1950.0,1,621.0,2070.0,21.342489999999998,-157.96368999999999,MERBL,EDU1,Hickam Elementary - Bldg E,Manzelman St,Hickam AFB ,96853.0,HI,nan,nan,nan,nan,nan,nan,nan,POINT (-157.96369 21.34249),12544,150030073021001,12296,0.499,0.5,1437,MERBL,rcburwalowshtnowiddArd100,3,5,4,15003007302,143,15003007302,143.3999939,145,150,,0.9988911989752001,0.9879999908499999,0.8240626972638,0.0,0.19184285937331996,0.13206351636426,137.09747957042,5.332159920828599
34,90,HI000420,EFS1,15003007302,1950.0,1,1224.3,4081.0,21.342489999999998,-157.96368999999999,MERBL,EDU1,Hickam Elementary - Bldg F,Manzelman St,Hickam AFB ,96853.0,HI,nan,nan,nan,nan,nan,nan,nan,POINT (-157.96369 21.34249),12544,150030073021001,12296,0.499,0.5,1437,MERBL,rcburwalowshtnowiddArd100,3,5,4,15003007302,143,15003007302,143.3999939,145,150,,0.9988911989752001,0.9879999908499999,0.8240626972638,0.0,0.19184285937331996,0.13206351636426,137.09747957042,5.332159920828599
35,91,HI000422,EFS1,15003007302,1950.0,1,1426.8,4756.0,21.342489999999998,-157.96368999999999,MERBL,EDU1,Hickam Elementary - Bldg H,Manzelman St,Hickam AFB ,96853.0,HI,nan,nan,nan,nan,nan,nan,nan,POINT (-157.96369 21.34249),12544,150030073021001,12296,0.499,0.5,1437,MERBL,rcburwalowshtnowiddArd100,3,5,4,15003007302,143,15003007302,143.3999939,145,150,,0.9988911989752001,0.9879999908499999,0.8240626972638,0.0,0.19184285937331996,0.13206351636426,137.09747957042,5.332159920828599
36,92,HI000423,EFS1,15003007302,1950.0,1,775.8,2586.0,21.342489999999998,-157.96368999999999,MERBL,EDU1,Hickam Elementary - Bldg I,Manzelman St,Hickam AFB ,96853.0,HI,nan,nan,nan,nan,nan,nan,nan,POINT (-157.96369 21.34249),12544,150030073021001,12296,0.499,0.5,1437,MERBL,rcburwalowshtnowiddArd100,3,5,4,15003007302,143,15003007302,143.3999939,145,150,,0.9988911989752001,0.9879999908499999,0.8240626972638,0.0,0.19184285937331996,0.13206351636426,137.09747957042,5.332159920828599
37,93,HI000424,EFS1,15003007302,1965.0,2,3396.0,11320.0,21.342489999999998,-157.96368999999999,MERBL,EDU1,Hickam Elementary - Bldg K,Manzelman St,Hickam AFB ,96853.0,HI,nan,nan,nan,nan,nan,nan,nan,POINT (-157.96369 21.34249),12544,150030073021001,12296,0.499,0.5,1437,MERBL,rcburwalowshtnowiddArd100,3,5,4,15003007302,143,15003007302,143.3999939,145,150,,0.9988911989752001,0.9879999908499999,0.8240626972638,0.0,0.19184285937331996,0.13206351636426,137.09747957042,5.332159920828599
38,2558,HI001662,EFS1,15003007300,1950.0,1,1224300.0,4081.0,21.342489,-157.963694,MERBL,EDU1,Hickam Elementary - Bldg F,MANZELMAN ST,HICKAM AFB,96853.0,HI,nan,nan,0.0,0.0,0.0,nan,0.0,POINT (-157.963694 21.342489),12544,150030073021001,12296,0.499,0.5,1437,MERBL,rcburwalowshtnowiddArd100,3,5,4,15003007302,143,15003007302,143.3999939,145,150,,0.9988911989752001,0.9879999908499999,0.8240626972638,0.0,0.19184285937331996,0.13206351636426,137.09747957042,5.332159920828599
39,2560,HI001664,EFS1,15003007300,1950.0,1,1426800.0,4756.0,21.342489,-157.963694,MERBL,EDU1,Hickam Elementary - Bldg H,MANZELMAN ST,HICKAM AFB,96853.0,HI,nan,nan,0.0,0.0,0.0,nan,0.0,POINT (-157.963694 21.342489),12544,150030073021001,12296,0.499,0.5,1437,MERBL,rcburwalowshtnowiddArd100,3,5,4,15003007302,143,15003007302,143.3999939,145,150,,0.9988911989752001,0.9879999908499999,0.8240626972638,0.0,0.19184285937331996,0.13206351636426,137.09747957042,5.332159920828599
40,2561,HI001665,EFS1,15003007300,1950.0,1,775800.0,2586.0,21.342489,-157.963694,MERBL,EDU1,Hickam Elementary - Bldg I,MANZELMAN ST,HICKAM AFB,96853.0,HI,nan,nan,0.0,0.0,0.0,nan,0.0,POINT (-157.963694 21.342489),12544,150030073021001,12296,0.499,0.5,1437,MERBL,rcburwalowshtnowiddArd100,3,5,4,15003007302,143,15003007302,143.3999939,145,150,,0.9988911989752001,0.9879999908499999,0.8240626972638,0.0,0.19184285937331996,0.13206351636426,137.09747957042,5.332159920828599
41,2562,HI001666,EFS1,15003007300,1965.0,2,3396000.0,11320.0,21.342489,-157.963694,MERBL,EDU1,Hickam Elementary - Bldg K,MANZELMAN ST,HICKAM AFB,96853.0,HI,nan,nan,0.0,0.0,0.0,nan,0.0,POINT (-157.963694 21.342489),12544,150030073021001,12296,0.499,0.5,1437,MERBL,rcburwalowshtnowiddArd100,3,5,4,15003007302,143,15003007302,143.3999939,145,150,,0.9988911989752001,0.9879999908499999,0.8240626972638,0.0,0.19184285937331996,0.13206351636426,137.09747957042,5.332159920828599
42,2564,HI001668,EFS1,15003007300,1950.0,1,2334000.0,7780.0,21.342489,-157.963694,MERBL,EDU1,Hickam Elementary - Bldg C,MANZELMAN ST,HICKAM AFB,96853.0,HI,nan,nan,0.0,0.0,0.0,nan,0.0,POINT (-157.963694 21.342489),12544,150030073021001,12296,0.499,0.5,1437,MERBL,rcburwalowshtnowiddArd100,3,5,4,15003007302,143,15003007302,143.3999939,145,150,,0.9988911989752001,0.9879999908499999,0.8240626972638,0.0,0.19184285937331996,0.13206351636426,137.09747957042,5.332159920828599
43,2565,HI001669,EFS1,15003007300,1950.0,1,621000.0,2070.0,21.342489,-157.963694,MERBL,EDU1,Hickam Elementary - Bldg E,MANZELMAN ST,HICKAM AFB,96853.0,HI,nan,nan,0.0,0.0,0.0,nan,0.0,POINT (-157.963694 21.342489),12544,150030073021001,12296,0.499,0.5,1437,MERBL,rcburwalowshtnowiddArd100,3,5,4,15003007302,143,15003007302,143.3999939,145,150,,0.9988911989752001,0.9879999908499999,0.8240626972638,0.0,0.19184285937331996,0.13206351636426,137.09747957042,5.332159920828599
44,449,HI000421,EFS1,15003007302,1950.0,1,956.55,5466.0,21.342489999999998,-157.96368999999999,WSF1,EDU1,Hickam Elementary - Bldg G,Manzelman St,Hickam AFB ,96853.0,HI,nan,nan,nan,nan,nan,nan,nan,POINT (-157.96369 21.34249),12544,150030073021001,12296,0.499,0.5,1,WSF1,rsgabswrnorda6dstrapgdnodshtno                                                                      ,1,6,4,15003007302,143,15003007302,143.3999939,145,150,,0.9500783723914,0.626511885137,0.15794666395779994,0.015826763387799994,0.20135447274926002,0.082129321073662,180.812683649556,5.825665638676399
45,450,HI000425,EFS1,15003007302,1994.0,1,142.1,812.0,21.342489999999998,-157.96368999999999,WSF1,EDU1,Hickam Elementary - Bldg P8,Manzelman St,Hickam AFB ,96853.0,HI,nan,nan,nan,nan,nan,nan,nan,POINT (-157.96369 21.34249),12544,150030073021001,12296,0.499,0.5,1,WSF1,rsgabswrnorda6dstrapgdnodshtno                                                                      ,1,6,4,15003007302,143,15003007302,143.3999939,145,150,,0.9500783723914,0.626511885137,0.15794666395779994,0.015826763387799994,0.20135447274926002,0.082129321073662,180.812683649556,5.825665638676399
46,2559,HI001663,EFS1,15003007300,1950.0,1,956550.0,5466.0,21.342489,-157.963694,WSF1,EDU1,Hickam Elementary - Bldg G,MANZELMAN ST,HICKAM AFB,96853.0,HI,nan,nan,0.0,0.0,0.0,nan,0.0,POINT (-157.963694 21.342489),12544,150030073021001,12296,0.499,0.5,1,WSF1,rsgabswrnorda6dstrapgdnodshtno                                                                      ,1,6,4,15003007302,143,15003007302,143.3999939,145,150,,0.9500783723914,0.626511885137,0.15794666395779994,0.015826763387799994,0.20135447274926002,0.082129321073662,180.812683649556,5.825665638676399
47,2563,HI001667,EFS1,15003007300,1994.0,1,142100.0,812.0,21.342489,-157.963694,WSF1,EDU1,Hickam Elementary - Bldg P8,MANZELMAN ST,HICKAM AFB,96853.0,HI,nan,nan,0.0,0.0,0.0,nan,0.0,POINT (-157.963694 21.342489),12544,150030073021001,12296,0.499,0.5,1,WSF1,rsgabswrnorda6dstrapgdnodshtno                                                                      ,1,6,4,15003007302,143,15003007302,143.3999939,145,150,,0.9500783723914,0.626511885137,0.15794666395779994,0.015826763387799994,0.20135447274926002,0.082129321073662,180.812683649556,5.825665638676399
