,OBJECTID_left,SchoolId,EfClass,Tract_left,YearBuilt,NumStories,Cost,Area,Latitude,Longitude,HUSBT,SO,Name,Address,City,Zipcode,Statea,Contact,PhoneNumber,NumStudents,BackupPower,ShelterCapacity,District,Kitchen,geometry,index_right,CensusBlock,OBJECTID_right,SURFACEROUGHNESS,SRIndex,wbID,sbtName,charDescription,CaseID,nWindChar,TerrainID,Tract_ID_Gen,OBJECTID,Tract_right,f1000yr,f1000yr_L,f1000yr_U,f1000yr_IpV,f1000yr_IpV_dmg1,f1000yr_IpV_dmg2,f1000yr_IpV_dmg3,f1000yr_IpV_dmg4,f1000yr_IpV_dmg5,f1000yr_IpV_dmg6,f1000yr_IpV_dmg7,f1000yr_IpV_dmg8
0,64,HI000347,EFS1,15003940001,1965.0,2,3596.1,11987.0,21.328110000000002,-157.6952,MERBL,EDU1,Blanche Pope El - Bldg A,41-133 Huli St ,Waimanalo,96795.0,HI,nan,nan,nan,nan,nan,nan,nan,POINT (-157.6952 21.32811),9939,150039400011046,9886,0.431,0.43,1437,MERBL,rcburwalowshtnowiddArd100,3,5,4,15003940001,264,15003940001,151.80000305,150,155,,1.0,0.9984076008601,0.9496200243999999,0.0,0.2828791631068698,0.20215223876244984,196.13778591950987,7.8185027344840945
1,65,HI000348,EFS1,15003940001,1969.0,2,3402.0,11340.0,21.328110000000002,-157.6952,MERBL,EDU1,Blanche Pope El - Bldg B,41-133 Huli St ,Waimanalo,96795.0,HI,nan,nan,nan,nan,nan,nan,nan,POINT (-157.6952 21.32811),9939,150039400011046,9886,0.431,0.43,1437,MERBL,rcburwalowshtnowiddArd100,3,5,4,15003940001,264,15003940001,151.80000305,150,155,,1.0,0.9984076008601,0.9496200243999999,0.0,0.2828791631068698,0.20215223876244984,196.13778591950987,7.8185027344840945
2,66,HI000349,EFS1,15003940001,1975.0,2,4614.9,15383.0,21.328110000000002,-157.6952,MERBL,EDU1,Blanche Pope Elementary - Bldg C,41-133 Huli St ,Waimanalo,96795.0,HI,nan,nan,nan,nan,nan,nan,nan,POINT (-157.6952 21.32811),9939,150039400011046,9886,0.431,0.43,1437,MERBL,rcburwalowshtnowiddArd100,3,5,4,15003940001,264,15003940001,151.80000305,150,155,,1.0,0.9984076008601,0.9496200243999999,0.0,0.2828791631068698,0.20215223876244984,196.13778591950987,7.8185027344840945
3,2484,HI001588,EFS1,15003011302,1965.0,2,3596100.0,11987.0,21.328112,-157.695197,MERBL,EDU1,Blanche Pope Elementary - Bldg A,41-133 HULI ST WAIM,WAIMANALO,96795.0,HI,nan,nan,0.0,0.0,0.0,nan,0.0,POINT (-157.695197 21.328112),9939,150039400011046,9886,0.431,0.43,1437,MERBL,rcburwalowshtnowiddArd100,3,5,4,15003940001,264,15003940001,151.80000305,150,155,,1.0,0.9984076008601,0.9496200243999999,0.0,0.2828791631068698,0.20215223876244984,196.13778591950987,7.8185027344840945
4,2486,HI001590,EFS1,15003011302,1969.0,2,3402000.0,11340.0,21.328112,-157.695197,MERBL,EDU1,Blanche Pope Elementary - Bldg B,41-133 HULI ST WAIM,WAIMANALO,96795.0,HI,nan,nan,0.0,0.0,0.0,nan,0.0,POINT (-157.695197 21.328112),9939,150039400011046,9886,0.431,0.43,1437,MERBL,rcburwalowshtnowiddArd100,3,5,4,15003940001,264,15003940001,151.80000305,150,155,,1.0,0.9984076008601,0.9496200243999999,0.0,0.2828791631068698,0.20215223876244984,196.13778591950987,7.8185027344840945
5,2488,HI001592,EFS1,15003011302,1975.0,2,4614900.0,15383.0,21.328112,-157.695197,MERBL,EDU1,Blanche Pope Elementary - Bldg C,41-133 HULI ST WAIM,WAIMANALO,96795.0,HI,nan,nan,0.0,0.0,0.0,nan,0.0,POINT (-157.695197 21.328112),9939,150039400011046,9886,0.431,0.43,1437,MERBL,rcburwalowshtnowiddArd100,3,5,4,15003940001,264,15003940001,151.80000305,150,155,,1.0,0.9984076008601,0.9496200243999999,0.0,0.2828791631068698,0.20215223876244984,196.13778591950987,7.8185027344840945
6,430,HI000350,EFS1,15003940001,1965.0,1,1081.675,6181.0,21.328110000000002,-157.6952,WSF1,EDU1,Blanche Pope Elementary - Bldg D,41-133 Huli St ,Waimanalo,96795.0,HI,nan,nan,nan,nan,nan,nan,nan,POINT (-157.6952 21.32811),9939,150039400011046,9886,0.431,0.43,1,WSF1,rsgabswrnorda6dstrapgdnodshtno                                                                      ,1,6,4,15003940001,264,15003940001,151.80000305,150,155,,0.9840504069478999,0.7840180563029997,0.3498484757558997,0.07477923276919984,0.32759221394290977,0.15905971698917984,256.5553283657459,9.874593798249492
7,2490,HI001594,EFS1,15003011302,1965.0,1,1081675.0,6181.0,21.328112,-157.695197,WSF1,EDU1,Blanche Pope Elementary - Bldg D,41-133 HULI ST WAIM,WAIMANALO,96795.0,HI,nan,nan,0.0,0.0,0.0,nan,0.0,POINT (-157.695197 21.328112),9939,150039400011046,9886,0.431,0.43,1,WSF1,rsgabswrnorda6dstrapgdnodshtno                                                                      ,1,6,4,15003940001,264,15003940001,151.80000305,150,155,,0.9840504069478999,0.7840180563029997,0.3498484757558997,0.07477923276919984,0.32759221394290977,0.15905971698917984,256.5553283657459,9.874593798249492
8,69,HI000394,EFS1,15003008617,1990.0,1,2890.2,9634.0,21.3345,-158.03468999999998,MERBL,EDU1,Ewa Elementary - Bldg L,91-1280 Renton Rd,Ewa Beach,96706.0,HI,nan,nan,nan,nan,nan,nan,nan,POINT (-158.03469 21.3345),15438,150030084111001,15232,0.29,0.29,1437,MERBL,rcburwalowshtnowiddArd100,3,5,3,15003008411,174,15003008411,143.30000305,145,150,,1.0,0.9999196000366,0.9797410072285,0.0,0.31329589371530986,0.2422960273279999,213.3258199042999,8.101593960780495
9,70,HI000395,EFS1,15003008617,1994.0,2,2890.2,9634.0,21.3445,-158.03468999999998,MERBL,EDU1,Ewa Elementary - Bldg M,91-1280 Renton Rd,Ewa Beach,96706.0,HI,nan,nan,nan,nan,nan,nan,nan,POINT (-158.03469 21.3445),12196,150030086171004,11924,0.291,0.29,1437,MERBL,rcburwalowshtnowiddArd100,3,5,3,15003008617,184,15003008617,144.1000061,145,150,,1.0,0.9999292000732,0.981637014457,0.0,0.32213928743062004,0.24946405465600005,218.5466398086,8.353602921561
