OBJECTID,SchoolId,EfClass,Tract,YearBuilt,NumStories,Cost,Area,Latitude,Longitude,HUSBT,SO,Name,Address,City,Zipcode,Statea,Contact,PhoneNumber,NumStudents,BackupPower,ShelterCapacity,District,Kitchen
2481,HI001585,EFS1,15007040604,1983,1,2557.6,0,21.90216,-159.4692,WSF1,EDU1,KOLOA ELEMENTARY SCHOOL,3223 POIPU ROAD,KOLOA,NULL,HI,NULL,(808) 742-9966,334,0,0,NULL,0
2482,HI001586,EFS1,15003008500,1954,1,1610700,9204,21.322413,-158.081912,WSF1,EDU1,Barbers Point Elem - Bldg B,91-1001 BOXER ST BPNAS,BARBERS POINT,96862,HI,NULL,NULL,0,0,0,NULL,0
2483,HI001587,EFS1,15007040900,1983,1,5120.76,0,22.0299,-159.6762,MERBL,EDU1,NIIHAU HIGH & ELEMENTARY SCHOOL,Tsuchiya Rd,WAIMEA,NULL,HI,NULL,(808) 338-6800,307,0,0,NULL,0
2484,HI001588,EFS1,15003011302,1965,2,3596100,11987,21.328112,-157.695197,MERBL,EDU1,Blanche Pope Elementary - Bldg A,41-133 HULI ST WAIM,WAIMANALO,96795,HI,NULL,NULL,0,0,0,NULL,0
2485,HI001589,EFS1,15007040900,1981,1,6071.52,0,21.95892,-159.66709,MERBL,EDU1,WAIMEA CANYON ELEM & INTER,9555 HUAKAI ROAD,WAIMEA,NULL,HI,NULL,(808) 338-6830,486,0,0,NULL,0
2486,HI001590,EFS1,15003011302,1969,2,3402000,11340,21.328112,-157.695197,MERBL,EDU1,Blanche Pope Elementary - Bldg B,41-133 HULI ST WAIM,WAIMANALO,96795,HI,NULL,NULL,0,0,0,NULL,0
2487,HI001591,EFS1,15007040900,1981,2,12318.18,0,21.95721,-159.66861,MERBL,EDU1,WAIMEA HIGH SCHOOL,9707 TSUCHIYA ROAD,WAIMEA,NULL,HI,NULL,(808) 338-6800,642,0,0,NULL,0
2488,HI001592,EFS1,15003011302,1975,2,4614900,15383,21.328112,-157.695197,MERBL,EDU1,Blanche Pope Elementary - Bldg C,41-133 HULI ST WAIM,WAIMANALO,96795,HI,NULL,NULL,0,0,0,NULL,0
2489,HI001593,EFS1,15007040500,1980,1,10564,0,21.97957,-159.3668,MERBL,EDU1,WILCOX ELEMENTARY SCHOOL,4319 HARDY STREET,LIHUE,NULL,HI,NULL,(808) 274-3150,890,0,0,NULL,0
2490,HI001594,EFS1,15003011302,1965,1,1081675,6181,21.328112,-157.695197,WSF1,EDU1,Blanche Pope Elementary - Bldg D,41-133 HULI ST WAIM,WAIMANALO,96795,HI,NULL,NULL,0,0,0,NULL,0
2491,HI001595,EFS1,15003008302,1975,3,11876400,39588,21.315775,-158.008347,MERBL,EDU1,Campbell High - Bldg D,91-950 NORTH RD EWA BCH,EWA BEACH,96706,HI,NULL,NULL,0,0,0,NULL,0
2492,HI001596,EFS1,15003008302,1973,1,1478050,8446,21.315775,-158.008347,WSF1,EDU1,Campbell High - Bldg E,91-950 NORTH RD EWA BCH,EWA BEACH,96706,HI,NULL,NULL,0,0,0,NULL,0
2493,HI001597,EFS1,15003008302,1973,1,1282500,4275,21.315775,-158.008347,MERBL,EDU1,Campbell High - Bldg F,91-950 NORTH RD EWA BCH,EWA BEACH,96706,HI,NULL,NULL,0,0,0,NULL,0
2494,HI001598,EFS1,15003008302,1968,2,6901500,23005,21.315775,-158.008347,MERBL,EDU1,Campbell High - Bldg G,91-950 NORTH RD EWA BCH,EWA BEACH,96706,HI,NULL,NULL,0,0,0,NULL,0
2495,HI001599,EFS1,15003008302,1976,1,7053300,23511,21.315775,-158.008347,MERBL,EDU1,Campbell High - Bldg H,91-950 NORTH RD EWA BCH,EWA BEACH,96706,HI,NULL,NULL,0,0,0,NULL,0
2496,HI001600,EFS1,15003008302,1974,1,4704900,15683,21.315775,-158.008347,MERBL,EDU1,Campbell High - Bldg J,91-950 NORTH RD EWA BCH,EWA BEACH,96706,HI,NULL,NULL,0,0,0,NULL,0
2497,HI001601,EFS1,15003008302,1968,1,5042400,16808,21.315775,-158.008347,MERBL,EDU1,Campbell High - Bldg K,91-950 NORTH RD EWA BCH,EWA BEACH,96706,HI,NULL,NULL,0,0,0,NULL,0
2498,HI001602,EFS1,15003008302,1972,1,1940700,6469,21.315775,-158.008347,MERBL,EDU1,Campbell High - Bldg L,91-950 NORTH RD EWA BCH,EWA BEACH,96706,HI,NULL,NULL,0,0,0,NULL,0
2499,HI001603,EFS1,15003008302,1971,1,3893400,22248,21.315775,-158.008347,WSF1,EDU1,Campbell High - Bldg N,91-950 NORTH RD EWA BCH,EWA BEACH,96706,HI,NULL,NULL,0,0,0,NULL,0
2500,HI001604,EFS1,15003008302,1963,2,6375900,21253,21.315775,-158.008347,MERBL,EDU1,Campbell High - Bldg O,91-950 NORTH RD EWA BCH,EWA BEACH,96706,HI,NULL,NULL,0,0,0,NULL,0
2501,HI001605,EFS1,15003008302,1974,1,4704900,15683,21.315775,-158.008347,MERBL,EDU1,Campbell High - Bldg I,91-950 NORTH RD EWA BCH,EWA BEACH,96706,HI,NULL,NULL,0,0,0,NULL,0
2502,HI001606,EFS1,15003010602,1980,1,6997200,23324,21.403144,-157.794583,MERBL,EDU1,Castle High - Bldg BB,45-386 KANEOHE BAY DR,KANEOHE,96744,HI,NULL,NULL,0,0,0,NULL,0
2503,HI001607,EFS1,15003010602,1955,1,1140000,3800,21.403144,-157.794583,MERBL,EDU1,Castle High - Bldg C,45-386 KANEOHE BAY DR,KANEOHE,96744,HI,NULL,NULL,0,0,0,NULL,0
2504,HI001608,EFS1,15003010602,1990,1,1169525,6683,21.403144,-157.794583,WSF1,EDU1,Castle High - Bldg CC,45-386 KANEOHE BAY DR,KANEOHE,96744,HI,NULL,NULL,0,0,0,NULL,0
2505,HI001609,EFS1,15003010602,1955,1,1338000,4460,21.403144,-157.794583,MERBL,EDU1,Castle High - Bldg D,45-386 KANEOHE BAY DR,KANEOHE,96744,HI,NULL,NULL,0,0,0,NULL,0
2506,HI001610,EFS1,15003010602,1991,1,1100400,6288,21.403144,-157.794583,WSF1,EDU1,Castle High - Bldg DD,45-386 KANEOHE BAY DR,KANEOHE,96744,HI,NULL,NULL,0,0,0,NULL,0
2507,HI001611,EFS1,15003010602,1955,1,2034300,6781,21.403144,-157.794583,MERBL,EDU1,Castle High - Bldg E,45-386 KANEOHE BAY DR,KANEOHE,96744,HI,NULL,NULL,0,0,0,NULL,0
2508,HI001612,EFS1,15003010602,1997,1,6699300,22331,21.403144,-157.794583,MERBL,EDU1,Castle High - Bldg EE,45-386 KANEOHE BAY DR,KANEOHE,96744,HI,NULL,NULL,0,0,0,NULL,0
2509,HI001613,EFS1,15003010602,1950,1,2016900,6723,21.403144,-157.794583,MERBL,EDU1,Castle High - Bldg F,45-386 KANEOHE BAY DR,KANEOHE,96744,HI,NULL,NULL,0,0,0,NULL,0
2510,HI001614,EFS1,15003010602,1999,1,50000,1000,21.403144,-157.794583,WSF1,EDU1,Castle High - Bldg FF,45-386 KANEOHE BAY DR,KANEOHE,96744,HI,NULL,NULL,0,0,0,NULL,0
2511,HI001615,EFS1,15003010602,1958,1,1390500,4635,21.403144,-157.794583,MERBL,EDU1,Castle High - Bldg K,45-386 KANEOHE BAY DR,KANEOHE,96744,HI,NULL,NULL,0,0,0,NULL,0
2512,HI001616,EFS1,15003009000,1963,2,3397200,11324,21.49405,-158.018641,MERBL,EDU1,Wahiawa Middle - Bldg C,275 ROSE ST WAHI,WAHIAWA,96786,HI,NULL,NULL,0,0,0,NULL,0
2513,HI001617,EFS1,15003009000,1963,1,1500300,5001,21.49405,-158.018641,MERBL,EDU1,Wahiawa Middle - Bldg H,275 ROSE ST WAHI,WAHIAWA,96786,HI,NULL,NULL,0,0,0,NULL,0
2514,HI001618,EFS1,15003010303,1957,1,1469700,4899,21.483287,-157.851652,MERBL,EDU1,Waiahole Elementary - Bldg G,48-215 WAIAHOLE VALLEY RD,KANEOHE,96744,HI,NULL,NULL,0,0,0,NULL,0
2515,HI001619,EFS1,15003010303,1966,1,156800,896,21.483287,-157.851652,WSF1,EDU1,Waiahole Elementary - Bldg P1,48-215 WAIAHOLE VALLEY RD,KANEOHE,96744,HI,NULL,NULL,0,0,0,NULL,0
