,NAME,ADDRESS,CITY,ZIPCODE,STATEA,BUILDING_COST,CONTENT_COST,BUILDING_AREA,HUSBT,YEARBUILT,NUMSTORIES,SCHOOLID,EFCLASS,TRACT,LATITUDE,LONGITUDE,OCCUPANCY,CENSUSBLOCK,TERRAINID
21,Straub Clinic & Hospital,888 S King St,Honolulu,96813,HI,8400000,12600000,27782,CERBM,1971,4,HI000048,EFHM,15003004100,21.30267,-157.8506,COM6,1.5003E+14,4
22,Straub Clinic & Hospital,888 S King St,Honolulu,96813,HI,8400000,12600000,27782,CERBM,1950,4,HI000050,EFHM,15003004100,21.30267,-157.8506,COM6,1.5003E+14,4
23,Hamilton Library,2540 The Mall,HONOLULU,96848,HI,144574560,216861840,401596,CERBM,1968,4,HI001958,EFS2,15003002701,21.300728,-157.816166,EDU2,1.5003E+14,4
24,Moore Hall,1890 East West Road,HONOLULU,96848,HI,33282000,49923000,110940,CERBM,1969,5,HI001948,EFS2,15003002701,21.30098,-157.815065,EDU2,1.5003E+14,4
25,Snyder Hall,2538 The Mall,HONOLULU,96848,HI,30015000,45022500,60030,CERBM,1962,5,HI001949,EFS2,15003002701,21.300289,-157.817159,EDU2,1.5003E+14,4
26,Webster Hall,2528 The Mall,HONOLULU,96848,HI,17867700,26801550,59559,CERBM,1961,4,HI001944,EFS2,15003002701,21.300611,-157.81773,EDU2,1.5003E+14,4
27,Edmundson Hall,2538 The Mall,HONOLULU,96848,HI,13044000,19566000,43480,CERBM,1963,4,HI001942,EFS2,15003002701,21.300508,-157.816691,EDU2,1.5003E+14,4
28,Spalding Hall,2540 Maile Way,HONOLULU,96848,HI,9903600,14855400,33012,CERBM,1961,4,HI001945,EFS2,15003002701,21.300826,-157.817378,EDU2,1.5003E+14,4
29,UH - West Oahu 2011,91-1001 Farrington Hwy,Kapolei,96707,HI,119703628.8,179555443.2,618240,CERBM,1990,3,HI001964,EFS2,15003008606,21.3552,-158.0561,EDU2,1.5003E+14,2
30,Hawaii Institute of Geophysics ,2525 Correa Road,HONOLULU,96848,HI,38012400,57018600,126708,CERBM,1963,4,HI001943,EFS2,15003002701,21.298199,-157.816629,EDU2,1.5003E+14,4
31,Bilger Addition,2445 The Mall,HONOLULU,96848,HI,36665000,54997500,73330,CERBM,1972,4,HI001931,EFS2,15003002701,21.298931,-157.81672,EDU2,1.5003E+14,4
32,Kuykendall Hall,1773 Donagho Road,HONOLULU,96848,HI,32857500,49286250,87620,CERBM,1964,4,HI001954,EFS2,15003002701,21.29839,-157.817598,EDU2,1.5003E+14,4
33,Sakamaki Hall,2530 Dole street,HONOLULU,96848,HI,26161800,39242700,87206,CERBM,1976,4,HI001913,EFS2,15003002701,21.297511,-157.817061,EDU2,1.5003E+14,4
34,St. John Laboratory Complex,3190 Maile Way,HONOLULU,96848,HI,62898000,94347000,125796,CERBM,1969,7,HI001957,EFS2,15003002701,21.301661,-157.815319,EDU2,1.5003E+14,4
35,Gilmore Hall,3050 Maile Way,HONOLULU,96848,HI,25247100,37870650,73180,CERBM,1978,7,HI001922,EFS2,15003002701,21.301635,-157.816688,EDU2,1.5003E+14,4
36,Agricultural Science Facility,1955 East West Road,HONOLULU,96848,HI,55393000,83089500,110786,CERBM,1995,4,HI001959,EFS2,15003002701,21.302777,-157.813818,EDU2,1.5003E+14,4
37,Marine Sciences Building,1000 Pope Road,HONOLULU,96848,HI,54912500,82368750,95500,CERBM,1984,6,HI001925,EFS2,15003002701,21.297942,-157.8157,EDU2,1.5003E+14,4
38,Watanabe Hall,2505 Correa Road,HONOLULU,96848,HI,33083500,49625250,66167,CERBM,1972,4,HI001939,EFS2,15003002701,21.298392,-157.815763,EDU2,1.5003E+14,4
39,Chaminade University,3140 Waialae Ave,Honolulu,96816,HI,47043851.4,70565777.1,242970,CERBM,1990,2,HI001960,EFS2,15003002701,21.2906,-157.8074,EDU2,1.5003E+14,4
40,Holmes Hall,1540 Dole Street,HONOLULU,96848,HI,44273000,66409500,88546,CERBM,1972,4,HI001941,EFS2,15003002701,21.296965,-157.816042,EDU2,1.5003E+14,4
41,Saunders Hall,2424 Maile Way,HONOLULU,96848,HI,43724610,65586915,126738,CERBM,1973,7,HI001905,EFS2,15003002701,21.300572,-157.819132,EDU2,1.5003E+14,4
42,Shidler College of Business,2404 Maile Way,HONOLULU,96848,HI,42900000,64350000,143000,CERBM,1972,5,HI001908,EFS2,15003002701,21.301096,-157.820285,EDU2,1.5003E+14,4
43,Leeward Comm College,96-045 Ala Ike,Pearl City,9672,HI,32528160,48792240,168000,CERBM,1990,2,HI001963,EFS2,15003008701,21.3927,-157.9838,EDU2,1.5003E+14,4
44,Hawaii Pacific Uni at HI Loa,15-045 Kamehameha Hwy,Kaneohe,96744,HI,20330100,30495150,105000,CERBM,1990,3,HI001961,EFS2,15003011000,21.3801,-157.7839,EDU2,1.5003E+14,4
45,"Leahi Hospital Young Building -  Lndy, *",3675 Kilauea Ave.,Honolulu,96816,HI,13640000,20460000,45113,CECBL,1980,2,HI000185,EFHM,15003005700,21.27340226,-157.8009899,COM6,1.5003E+14,4
46,Leahi Hospital Young Building -  Dining*,3675 Kilauea Ave.,Honolulu,98816,HI,13200000,19800000,43658,CECBL,1980,1,HI000182,EFHM,15003005700,21.27340226,-157.8009899,COM6,1.5003E+14,4
47,Leahi Hosp - Trotter Bldg -  Hospital,3675 Kilauea Ave.,Honolulu,96816,HI,12301600,18452400,40687,CECBL,1980,2,HI000173,EFHM,15003005700,21.27340226,-157.8009899,COM6,1.5003E+14,4
48,Leahi Hospital - Atherton Bldg -  Hospi*,3675 Kilauea Ave.,Honolulu,96816,HI,10113600,15170400,33450,CECBL,1980,2,HI000175,EFHM,15003005700,21.27340226,-157.8009899,COM6,1.5003E+14,4
49,Leahi Hospital -Nurse Qtr #1 Wilcox,3675 Kilauea Ave.,Honolulu,96816,HI,8352000,12528000,27624,CECBL,1980,1,HI000180,EFHM,15003005700,21.27340226,-157.8009899,COM6,1.5003E+14,4
50,Maui Memorial Hospital,221 Mahalani Street,Wailuku,96793,HI,25875000,38812500,85580,CECBL,2006,3,HI000191,EFHL,15009031000,20.884141,-156.48945,COM6,1.5009E+14,4
51,Maui PD,55 Mahalani Street,Wailuku,96793,HI,286260,429390,1126,CECBL,1987,3,HI000053,EFPS,15009031000,20.888097,-156.488102,GOV2,1.5009E+14,4
52,Kahului Ambulance,230 Hana Highway,Kahului,96732,HI,9674835,14512252.5,31999,CECBL,1966,3,HI000133,EFHS,15009031900,20.888825,-156.459405,COM6,1.5009E+14,4
53,Lanai CH,628 7th Street,Lanai City,96763,HI,5395455,8093182.5,17845,CECBL,1968,2,HI000169,EFHS,15009031601,20.826577,-156.917086,COM6,1.5009E+14,4
54,Hana Highway Ambulance,4590 Hana Highway,Hana,96713,HI,1552500,2328750,5135,CECBL,1987,3,HI000119,EFHS,15009030100,20.781375,-156.006363,COM6,1.5009E+14,4
55,Lanai City Ambulance,387 Ehunanu Circle,Lanai City,96763,HI,379500,569250,1255,CECBL,1991,3,HI000170,EFHS,15009031601,20.828272,-156.922869,COM6,1.5009E+14,3
56,Kona CH,79-1019 Haukapila Street,Kealakeua,96750,HI,78400,117600,259,CECBL,1996,3,HI000156,EFHM,15001021402,19.52007,-155.91775,COM6,1.5001E+14,3
57,Psychiatric Facility/KCH,79-1019 Haukapila Street,Kealakekua,96750,HI,20600,30900,68,CECBL,1998,2,HI000196,EFHM,15001021402,19.52067,-155.91773,COM6,1.5001E+14,3
