OBJECTID,CensusBlock,SURFACEROUGHNESS,SRIndex
2489,150010206004015,0.53500000,0.54000000
2490,150010205005009,0.53300000,0.53000000
2491,150010206004041,0.52700000,0.53000000
2492,150010206004017,0.51500000,0.52000000
2493,150010205004033,0.46000000,0.46000000
2494,150010207011008,0.49300000,0.49000000
2495,150010205004034,0.43800000,0.44000000
2496,150010208011045,0.72400000,0.72000000
2497,150010208012008,0.56500000,0.56000000
2498,150010202021190,0.22900000,0.23000000
2499,150010202021223,0.62100000,0.62000000
2500,150010204001005,0.23000000,0.23000000
2501,150010202022002,0.29300000,0.29000000
2502,150010209001011,0.40000000,0.40000000
2503,150010202022050,0.31900000,0.32000000
2504,150010205004022,0.39300000,0.39000000
2505,150010219021031,0.66900000,0.67000000
2506,150010219021091,0.50800000,0.51000000
2507,150010219021097,0.32400000,0.32000000
2508,150010219021108,0.50400000,0.50000000
2509,150010219021106,0.49000000,0.49000000
2510,150010219021094,0.30900000,0.31000000
2511,150010219021147,0.58700000,0.59000000
2512,150010219021128,0.49000000,0.49000000
2513,150010219021149,0.58400000,0.58000000
2514,150010219021125,0.47200000,0.47000000
2515,150010219021315,0.26500000,0.26000000
2516,150010219023019,0.41200000,0.41000000
2517,150010219021059,0.37200000,0.37000000
2518,150010219021179,0.75300000,0.75000000
2519,150010212022207,0.29000000,0.29000000
2520,150010212022255,0.12700000,0.13000000
2521,150010212022267,0.27400000,0.27000000
2522,150010212022202,0.27500000,0.28000000
2523,150010212022003,0.66000000,0.66000000
2524,150010212022285,0.23600000,0.24000000
2525,150010212022286,0.25000000,0.25000000
2526,150010212022297,0.19700000,0.20000000
2527,150010212022154,0.11900000,0.12000000
2528,150010212022168,0.13200000,0.13000000
2529,150010212022184,0.09400000,0.09000000
2530,150010212021310,0.11700000,0.12000000
2531,150010212021292,0.09100000,0.09000000
2532,150010212021283,0.15400000,0.15000000
2533,150010212021277,0.09600000,0.10000000
2534,150010212021319,0.09300000,0.09000000
2535,150010212021329,0.23800000,0.24000000
2536,150010212021330,0.33900000,0.34000000
2537,150010210101025,0.36900000,0.37000000
2538,150010210101104,0.67200000,0.67000000
2539,150010210101001,0.61200000,0.61000000
2540,150010210101099,0.55800000,0.56000000
2541,150010210101056,0.50300000,0.50000000
2542,150010210101002,0.69100000,0.69000000
2543,150010210111094,0.64100000,0.64000000
2544,150010210101080,0.49500000,0.50000000
2545,150010210101071,0.49300000,0.49000000
2546,150010210101090,0.54800000,0.55000000
2547,150010210101005,0.61000000,0.61000000
2548,150010210101035,0.49300000,0.49000000
2549,150010210102065,0.62600000,0.63000000
2550,150010210101098,0.60300000,0.60000000
2551,150010210033039,0.41800000,0.42000000
2552,150010210033001,0.61100000,0.61000000
2553,150010221021382,0.14100000,0.14000000
2554,150010221021120,0.15400000,0.15000000
2555,150010221021075,0.13100000,0.13000000
2556,150010221022044,0.25500000,0.26000000
2557,150010221021173,0.16600000,0.17000000
2558,150010221021200,0.18300000,0.18000000
2559,150010218003032,0.45900000,0.46000000
2560,150010218004009,0.51000000,0.51000000
2561,150010218004111,0.76800000,0.77000000
2562,150010218004106,0.70000000,0.70000000
2563,150010218002012,0.14300000,0.14000000
2564,150010218002098,0.12100000,0.12000000
2565,150010218002129,0.21000000,0.21000000
2566,150010201003128,0.43200000,0.43000000
2567,150010201002114,0.34300000,0.34000000
2568,150010201003015,0.14000000,0.14000000
2569,150010213003011,0.21100000,0.21000000
2570,150010213001115,0.16700000,0.17000000
2571,150010213001008,0.14800000,0.15000000
2572,150010213001136,0.05500000,0.06000000
2573,150010213001126,0.42700000,0.43000000
